Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 1500

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer    RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64     Float64      Float64      Float64       Float64     Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   71 │  0.161939    0.105187    -0.84427       0.0175013    0.103173     0.135464   0.116401    0.0775203      0.916667     0.96875                      0
   72 │  0.161939    0.105187     0.15573       0.0175013    0.103173     0.135464   0.111401    0.0775203      0.916667     0.96875                      0
   73 │  0.161939    0.105187     0.15573       0.0175013    0.103173     0.135464   0.116401    0.0725203      0.916667     0.96875                      0
   74 │  0.161939    0.105187     0.15573       0.0175013    0.103173     0.135464   0.116401    0.0775203      0.916667     0.96875                      0
   75 │  0.161939    0.105187     0.15573       0.0175013    0.108173     0.135464   0.116401    0.0775203      0.916667     1.0                          2
   76 │  0.135552    0.00752417   0.121423      0.0586438    0.159795     0.161512  -0.932291    0.0600219      0.916667     0.96875                      0
   77 │  0.0594573   0.0668547    0.00795792    0.0502602    0.190434     0.145861   0.151906    0.10853        0.916667     0.96875                      0
   78 │  0.12269     0.0332001    0.147246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.914583     1.0                          1
   79 │  0.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279   0.0960361   0.0893802      0.914583     1.0                          2
   80 │  0.152156    0.111746    -0.996782     -0.876465     0.121457     0.116945   0.0810814   0.0397341      0.914583     0.96875                      0
   81 │  0.152156    0.111746     0.00821785   -0.876465     0.121457     0.116945   0.0810814   0.0397341      0.914583     0.96875                      0
   82 │  0.183335    0.125354     0.0449128     0.0897412    0.116659     0.186293   0.0852727   0.0883816      0.914583     0.96875                      0
   83 │  0.183335    0.125354     0.0449128     0.0897412    0.116659     0.191293   0.0852727   0.0883816      0.914583     0.9375                       0
   84 │  0.183335    0.125354     0.0449128    -0.910259     0.121659     0.186293   0.0852727   0.0883816      0.914583     0.96875                      0
   85 │  0.183335    0.125354     1.04491       0.0847412    0.121659     0.186293   0.0852727   0.0883816      0.914583     0.96875                      0
   86 │  0.0814545   0.0745212   -0.841143      0.00040739   0.134643     0.103979   0.0715813   0.0324708      0.914583     0.96875                      0
   87 │  0.0814545   0.0745212    0.158857      0.00540739   0.134643     0.103979   0.0665813   0.0324708      0.914583     1.0                          2
   88 │  0.0814545   0.0695212    0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0324708      0.914583     0.96875                      0
   89 │  1.08145     0.0745212    0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0324708      0.914583     0.96875                      0
   90 │  0.0279274   0.017226     0.136449     -0.98517      0.123898     0.188252   0.0299218   0.0389143      0.914583     0.96875                      0
   91 │  0.0279274   0.017226     0.141449      0.0148304    0.118898     0.183252   0.0299218   0.0389143      0.914583     0.96875                      0
   92 │  0.0279274   0.017226     0.141449      0.0148304    0.123898     0.188252   0.0349218   0.0339143      0.914583     1.0                          1
   93 │  0.0279274   0.017226     1.14145      -0.98517      0.123898     0.188252   0.0299218   0.0389143      0.914583     1.0                          1
   94 │  1.02793     0.022226     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.914583     0.96875                      0
   95 │  0.162626    0.169187    -0.866118      0.0833369    0.116215     0.166546   0.0818039   0.0781038      0.914583     1.0                          1
   96 │  0.157626    0.164187     0.133882      0.0833369    0.116215     0.166546   0.0818039   0.0781038      0.914583     1.0                          1
   97 │  0.162626    0.169187     0.133882     -0.916663     0.116215     0.166546   0.0818039   0.0781038      0.914583     1.0                          2
   98 │  0.148331    0.087875     0.163139      0.00444503   0.180335     0.132078   0.0770766   0.0910401      0.914583     0.96875                      0
   99 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0720766   0.0910401      0.914583     1.0                          1
  100 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0820766  -0.90896        0.914583     0.96875                      0
  101 │  0.153331    0.082875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.914583     1.0                          1
  102 │  0.0547396   0.0227965    0.00739434    0.189724     0.160364     0.177053   0.144495    0.0779669      0.914583     0.96875                      0
  103 │  0.161939    0.105187     0.15573       0.0125013    0.103173     0.135464   0.116401    0.0775203      0.914583     0.96875                      0
  104 │  0.161939    0.105187     0.15573       0.0175013    0.103173     0.135464   0.121401    0.0775203      0.914583     0.96875                      0
  105 │ -0.864448    0.00752417   0.121423      0.0586438    0.159795     0.161512   0.0677093   0.0650219      0.914583     1.0                          1
  106 │  0.135552    0.00752417   0.116423      0.0636438    0.159795     0.161512   0.0677093   0.0650219      0.914583     1.0                          1
  107 │  0.135552    0.00752417   0.121423     -0.941356     0.159795     0.161512   0.0677093   0.0650219      0.914583     0.96875                      0
  108 │  0.135552    0.00752417   0.121423      0.0586438    0.159795     0.161512   1.06771     1.06502        0.914583     1.0                          1
  109 │  0.0544573   0.0718547    0.00795792    0.0502602    0.195434     0.150861   0.151906    0.10853        0.914583     0.96875                      0
  110 │  0.182744    0.0579462    0.183879      0.00834448   0.191051     0.146533   0.186267    0.0744286      0.914583     0.96875                      0
  111 │  0.182744    0.0579462    0.183879      0.0133445    0.191051     0.146533   0.186267    0.0744286      0.914583     0.96875                      0
  112 │  0.182744    0.0579462    0.188879      0.00834448   0.196051     0.141533   0.186267    0.0744286      0.914583     0.96875                      0
  113 │  0.182744    0.0579462    1.18888       0.0133445    0.191051     0.146533   0.186267    0.0744286      0.914583     0.96875                      0
  114 │  0.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279   0.0860361   0.0993802      0.9125       1.0                          1
  115 │  0.12769     0.0282001    0.147246      0.0476225    0.0546398    0.180279   0.0910361   0.0943802      0.9125       0.9375                       0
  116 │  0.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279   0.0960361   0.0943802      0.9125       1.0                          1
  117 │  1.12769     0.0282001    0.147246      0.0526225    0.0546398    0.180279   0.0910361   0.0943802      0.9125       0.9375                       0
  118 │  0.152156    0.111746     0.00321785    0.123535     0.121457     0.116945   0.0760814   0.0447341      0.9125       1.0                          1
  119 │  0.182333    0.122338     0.123909     -0.853563     0.0965279    0.187423   0.0794977   0.00690045     0.9125       1.0                          1
  120 │  0.182333    0.122338     0.123909      0.151437     0.0965279    0.187423   0.0794977   0.00690045     0.9125       1.0                          2
  121 │  0.183335    0.125354    -0.955087     -0.910259     0.121659     0.186293   0.0852727   0.0883816      0.9125       1.0                          1
  122 │  0.183335    0.125354     0.0449128     0.0897412    0.126659     0.191293   0.0852727   0.0883816      0.9125       1.0                          1
  123 │  1.18334    -0.874646     0.0449128     0.0897412    0.121659     0.186293   0.0852727   0.0883816      0.9125       0.96875                      0
  124 │  0.0814545   0.0745212    0.153857      0.00040739   0.134643     0.103979   0.0715813   0.0324708      0.9125       0.96875                      0
  125 │  0.0814545   0.0745212    0.158857     -0.994593     0.134643     0.103979   0.0715813   0.0324708      0.9125       1.0                          1
  126 │  1.08145     0.0795212    0.158857      0.00540739   0.134643     0.103979   0.0715813   0.0324708      0.9125       0.96875                      0
  127 │  0.0814545   0.0745212    1.15886       0.0104074    0.134643     0.103979   0.0715813   0.0324708      0.9125       1.0                          1
  128 │  0.0279274   0.017226     0.136449      0.0098304    0.123898     0.188252   0.0299218   0.0389143      0.9125       1.0                          2
  129 │  0.0279274   0.017226     0.141449      0.0148304    0.123898     0.188252   0.0299218  -0.961086       0.9125       1.0                          1
  130 │  0.0329274   0.017226     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.9125       0.9375                       0
  131 │  1.02793     0.012226     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.9125       0.96875                      0
  132 │  1.02793     0.017226     0.141449      0.0148304    0.123898     0.188252   0.0299218   0.0389143      0.9125       0.96875                      0
  133 │  0.161791    0.0343425   -0.903435     -0.955799     0.1434       0.133013   0.133041    0.146628       0.9125       0.96875                      0
  134 │  0.161791    0.0343425    0.0965648     0.044201     0.1434       0.133013   0.128041    0.151628       0.9125       1.0                          1
  135 │  0.161791    0.0343425    0.0965648     0.044201     0.1434       0.133013   0.133041    0.151628       0.9125       1.0                          1
  136 │  0.161791    0.0343425    0.101565     -0.955799     0.1434       0.133013   0.133041    0.146628       0.9125       1.0                          1
  137 │  0.161791    0.0343425    0.0965648     0.044201     0.1484      -0.866987   0.133041    0.146628       0.9125       1.0                          1
  138 │  1.16179    -0.965658     0.0965648     0.044201     0.1434       0.133013   0.133041    0.146628       0.9125       0.96875                      0
  139 │  1.16179     0.0343425    0.0965648     0.044201     0.1434       0.133013   0.133041    0.146628       0.9125       1.0                          1
  140 │  0.162626    0.169187    -0.866118     -0.916663     0.116215     0.166546   0.0818039   0.0781038      0.9125       0.96875                      0
  141 │  0.162626    0.169187     0.128882     -0.916663     0.116215     0.166546   0.0818039   0.0781038      0.9125       1.0                          1
  142 │  0.162626    0.169187     0.133882      0.0833369    0.116215     0.166546   0.0868039  -0.921896       0.9125       0.96875                      0
  143 │  0.167626    0.164187     0.133882      0.0833369    0.116215     0.166546   0.0818039   0.0781038      0.9125       0.96875                      0
  144 │  0.148331    0.087875     0.163139      0.00444503  -0.814665     0.132078   0.0770766   0.0910401      0.9125       0.96875                      0
  145 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0720766  -0.90896        0.9125       1.0                          1
  146 │  0.148331    0.087875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.9125       1.0                          1
  147 │  0.148331    0.092875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.9125       1.0                          1
  148 │  0.153331    0.092875     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.9125       0.96875                      0
  149 │  1.14833    -0.912125     0.163139      0.00444503   0.185335     0.137078   0.0770766   0.0910401      0.9125       0.96875                      0
  150 │  0.0547396   0.0227965    0.00239434    0.189724     0.160364     0.182053   0.144495    0.0779669      0.9125       0.96875                      0
  151 │  0.0597396  -0.977204     0.00739434    0.189724     0.160364     0.182053   0.144495    0.0779669      0.9125       0.96875                      0
  152 │  0.0547396   0.0227965    0.00739434    0.189724     0.165364     0.182053   0.144495    0.0779669      0.9125       1.0                          1
  153 │  0.0891494   0.122576     0.0148985     0.0771466    0.158136     0.13053    0.183831    0.094325       0.9125       0.96875                      0
  154 │  0.0941494   0.117576     0.0148985     0.0771466    0.158136     0.13053    0.183831    0.094325       0.9125       0.96875                      0
  155 │  0.0891494   0.122576     1.0149        0.0721466    0.158136     0.13053    0.183831    0.094325       0.9125       0.96875                      0
  156 │ -0.838061    0.110187     0.15573       0.0175013    0.103173     0.135464   0.116401    0.0775203      0.9125       0.96875                      0
  157 │  0.161939    0.105187     0.15073       0.0125013    0.103173     0.135464   0.116401    0.0775203      0.9125       0.96875                      0
  158 │  0.161939    0.105187     0.15573       0.0175013    0.098173     0.140464   0.116401    0.0775203      0.9125       1.0                          1
  159 │  0.161939    0.105187     0.15573       0.0175013    0.108173     0.140464   0.116401    0.0775203      0.9125       0.96875                      0
