Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  104 │ 0.150525     0.16541      0.162916      0.00611472   0.08775       0.0472102  0.0223507   0.0350674       0.920833     1.0                          2
  105 │ 0.154448     0.190482     0.143265      0.00174352   0.0769472     0.0825279  0.00785314  0.0500903       0.920833     0.96875                      0
  106 │ 0.176082     0.0312563    0.157125      0.0          0.0570241     0.117128   0.0997364   0.114441        0.920833     0.96875                      0
  107 │ 0.19854      0.0502497    0.154069      0.0106953    0.0661436     0.121691   0.0992575   0.0983085       0.920833     1.0                          1
  108 │ 0.196811     0.0404681    0.175144      0.0170338    0.0521727     0.112345   0.0945869   0.11152         0.920833     1.0                          2
  109 │ 0.185734     0.039525     0.174867      0.0206948    0.0562648     0.127478   0.106228    0.0809466       0.920833     1.0                          1
  110 │ 0.207982     0.063528     0.175055      0.0          0.0829951     0.135864   0.0974117   0.100098        0.920833     0.96875                      0
  111 │ 0.163714     0.0507787    0.155049      0.0152832    0.0149152     0.0827702  0.20187     0.15806         0.920833     0.96875                      0
  112 │ 0.150592     0.021165     0.164622      0.0263684    0.000441531   0.0852359  0.193576    0.174927        0.920833     1.0                          1
  113 │ 0.0978217    0.0597       0.159984      0.199336     0.145526      0.138828   0.112653    0.0350076       0.920833     1.0                          1
  114 │ 0.175485     0.0522302    0.180252      0.198405     0.158248      0.181022   0.0743953   0.0505434       0.920833     0.96875                      0
  115 │ 0.0701969    0.0548689    0.0204997     0.0851266    0.188971      0.181917   0.0800428   0.0900964       0.920833     1.0                          2
  116 │ 0.0797034    0.052864     0.042414      0.0911281    0.184319      0.195475   0.0776979   0.0862854       0.920833     1.0                          1
