Starting fitting with 32 workers on previous 1000 parameter combinations...

=== !200! Iterations Results ===
Total experiments: 1000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   65 │ 0.212672   0.0443095    0.138165      0.0183512    0.0817456     0.148197   0.124359     0.107029       0.8875       0.96875                      0
   66 │ 0.123676   0.00815809   0.139105      0.0501173    0.117629      0.150353   0.0529445    0.0469545      0.8875       0.96875                      0
   67 │ 0.0395482  0.00283186   0.178419      0.0403464    0.11892       0.16303    0.0444636    0.0370334      0.8875       0.9375                       0
   68 │ 0.138608   0.084535     0.174467      6.58409e-6   0.187084      0.152879   0.0896128    0.102117       0.8875       0.9375                       0
   69 │ 0.179698   0.0667884    0.17532       0.0          0.0653774     0.092186   0.0844978    0.0654807      0.8875       0.96875                      0
   70 │ 0.124644   0.0318173    0.132023      0.0403885    0.0548901     0.175467   0.103693     0.0995549      0.8875       0.96875                      0
   71 │ 0.212189   0.0390093    0.14491       0.0304115    0.0837807     0.134572   0.114388     0.0974739      0.8875       0.9375                       0
   72 │ 0.135835   0.00736096   0.105247      0.0448163    0.146917      0.149073   0.0886591    0.0585052      0.8875       0.96875                      0
   73 │ 0.188914   0.178305     0.184634      0.0230684    0.103292      0.0778906  0.0289232    0.0587073      0.8875       1.0                          1
   74 │ 0.123533   0.00225711   0.133763      0.0543894    0.128926      0.167446   0.0534917    0.0302602      0.8875       1.0                          1
   75 │ 0.194768   0.0250745    0.146595      0.000157328  0.0823426     0.132247   0.115073     0.0750422      0.8875       0.96875                      0
   76 │ 0.134268   0.0          0.121356      0.0640828    0.1327        0.167778   0.0655399    0.0453713      0.8875       0.9375                       0
   77 │ 0.135775   0.00220424   0.129763      0.0532179    0.148034      0.175809   0.0661787    0.0383142      0.8875       0.9375                       0
   78 │ 0.13483    0.00688246   0.107725      0.0367093    0.125321      0.151852   0.108341     0.0734842      0.8875       0.96875                      0
   79 │ 0.205988   0.0975746    0.190072      0.170481     0.161588      0.165965   0.0607895    0.0528161      0.8875       0.9375                       0
   80 │ 0.133096   0.0186658    0.120892      0.0549068    0.14937       0.163878   0.0512518    0.080084       0.8875       0.96875                      0
   81 │ 0.185734   0.039525     0.174867      0.0206948    0.0562648     0.127478   0.106228     0.0809466      0.8875       0.9375                       0
   82 │ 0.161791   0.0343425    0.0965648     0.044201     0.1434        0.133013   0.133041     0.146628       0.8875       0.9375                       0
   83 │ 0.135552   0.00752417   0.121423      0.0586438    0.159795      0.161512   0.0677093    0.0650219      0.8875       0.96875                      0
   84 │ 0.170784   0.0574959    0.0827767     0.0          0.136623      0.146875   0.0275075    0.0397959      0.8875       0.9375                       0
   85 │ 0.139022   0.0120912    0.122511      0.0444519    0.133599      0.15258    0.0613693    0.044002       0.8875       0.96875                      0
   86 │ 0.13558    0.0028709    0.109899      0.0486378    0.165381      0.172856   0.0823341    0.0641832      0.8875       0.9375                       0
   87 │ 0.140017   0.00724564   0.103091      0.0399294    0.147839      0.159247   0.088465     0.062301       0.8875       0.90625                      0
   88 │ 0.134044   0.0          0.11504       0.0472649    0.150655      0.149931   0.0815909    0.0672387      0.8875       0.96875                      0
   89 │ 0.137203   0.0021438    0.115305      0.0503536    0.150112      0.157401   0.0875505    0.0600811      0.8875       0.9375                       0
   90 │ 0.0447232  0.010973     0.167724      0.0461632    0.110204      0.168918   0.0364501    0.0399735      0.8875       0.9375                       0
   91 │ 0.149049   0.00175342   0.103239      0.0466102    0.138294      0.152202   0.0970501    0.0760375      0.8875       0.9375                       0
   92 │ 0.172908   0.0481052    0.0973561     0.0404286    0.145279      0.175662   0.0393483    0.0497766      0.8875       0.9375                       0
   93 │ 0.152852   0.0706383    0.0780774     0.0          0.130043      0.165393   0.0134198    0.0368954      0.8875       0.96875                      0
   94 │ 0.197882   0.0437774    0.169236      0.0217381    0.0723218     0.117347   0.10063      0.112566       0.8875       0.9375                       0
   95 │ 0.0934379  0.128656     0.0           0.0365834    0.100273      0.204482   0.155379     0.0367894      0.8875       1.0                          1
   96 │ 0.180248   0.0425123    0.0921597     0.00602866   0.132063      0.14573    0.0339525    0.0440214      0.885417     0.9375                       0
   97 │ 0.132898   0.00269723   0.121868      0.0507354    0.139251      0.156993   0.0582632    0.0398536      0.885417     0.96875                      0
   98 │ 0.16168    0.0886144    0.173622      0.0          0.196189      0.137998   0.0979715    0.0912805      0.885417     0.90625                      0
   99 │ 0.1705     0.0455403    0.093894      0.00272558   0.135015      0.159587   0.0247402    0.0397625      0.885417     0.9375                       0
  100 │ 0.175668   0.168781     0.139423      0.104322     0.111065      0.178639   0.0805248    0.090539       0.885417     0.9375                       0
  101 │ 0.203826   0.0343446    0.162637      0.00932466   0.0715064     0.134141   0.122175     0.100615       0.885417     0.9375                       0
  102 │ 0.118099   0.0559605    0.208146      0.192845     0.157249      0.193059   0.142672     0.0622603      0.885417     0.9375                       0
  103 │ 0.141647   0.0          0.101544      0.0243855    0.134117      0.158714   0.110955     0.0708464      0.885417     0.96875                      0
  104 │ 0.172002   0.157703     0.151196      0.0642027    0.141366      0.170369   0.106609     0.0892378      0.885417     0.96875                      0
  105 │ 0.209681   0.0403053    0.150901      0.00776316   0.0711529     0.13055    0.109357     0.0819454      0.885417     1.0                          1
  106 │ 0.0399211  0.0141649    0.158382      0.0132724    0.114247      0.154388   0.0262222    0.0481044      0.885417     0.9375                       0
  107 │ 0.148946   0.0          0.109343      0.0481571    0.147963      0.163779   0.0810161    0.0657101      0.885417     0.9375                       0
  108 │ 0.166884   0.0456612    0.0851631     0.0140749    0.143012      0.147177   0.0146919    0.0575926      0.885417     0.90625                      0
  109 │ 0.227333   0.0402369    0.153291      0.022759     0.0748312     0.150032   0.114464     0.0941247      0.885417     0.9375                       0
  110 │ 0.143102   0.00912718   0.118053      0.0598295    0.165735      0.168807   0.0869939    0.0667941      0.885417     0.9375                       0
  111 │ 0.128338   0.00753505   0.127327      0.0550616    0.149145      0.16548    0.0540148    0.0476702      0.885417     0.96875                      0
  112 │ 0.18562    0.160084     0.167598      0.00925063   0.115926      0.0761942  0.0278944    0.0309729      0.885417     0.9375                       0
  113 │ 0.145274   0.0872591    0.169609      0.0          0.19537       0.167745   0.0917473    0.103055       0.885417     0.96875                      0
  114 │ 0.145792   0.0722739    0.164407      0.0142316    0.175449      0.15344    0.0790518    0.0875507      0.885417     0.9375                       0
  115 │ 0.126129   0.000369056  0.102893      0.0445819    0.182471      0.142052   0.0803245    0.0526859      0.885417     0.9375                       0
  116 │ 0.150385   0.18532      0.148345      0.0888829    0.13297       0.155079   0.0978636    0.0974341      0.885417     0.9375                       0
  117 │ 0.154204   0.193197     0.174011      0.0738652    0.175026      0.15175    0.0778786    0.109516       0.885417     1.0                          1
  118 │ 0.137101   0.00948493   0.126235      0.0585789    0.136842      0.150175   0.055614     0.0307507      0.885417     0.9375                       0
