Starting fitting with 32 workers on previous 1000 parameter combinations...

=== 1000 Iterations Results ===
Total experiments: 5000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   75 │ 0.100939   0.0567896    0.155477      0.0          0.135805      0.0867615  0.0519666    0.045297       0.925        0.96875                      0
   76 │ 0.0375697  0.0255164    0.149913      0.00847122   0.116472      0.182224   0.0202222    0.0471988      0.925        1.0                          1
   77 │ 0.0165     0.017886     0.155582      0.0196931    0.112301      0.178637   0.0356658    0.0510694      0.925        1.0                          3
   78 │ 0.156217   0.107799     0.169634      0.00993216   0.202757      0.124917   0.10688      0.0920027      0.925        0.96875                      0
   79 │ 0.137614   0.0910716    0.188922      0.00641981   0.189917      0.145218   0.0869538    0.100389       0.925        1.0                          2
   80 │ 0.12941    0.0471655    0.20173       0.191478     0.152047      0.199301   0.133782     0.0512918      0.925        1.0                          1
   81 │ 0.162486   0.142296     0.0207079     0.0342197    0.0654993     0.101087   0.0663239    0.0471754      0.925        1.0                          1
   82 │ 0.121057   0.0178495    0.133816      0.0397011    0.0659462     0.185958   0.0862523    0.110068       0.925        0.96875                      0
   83 │ 0.184722   0.0997338    0.152462      0.00853857   0.0834468     0.153224   0.106031     0.0693382      0.925        0.96875                      0
   84 │ 0.179669   0.0744297    0.159645      0.0          0.051964      0.0956224  0.0714408    0.0658127      0.925        1.0                          1
   85 │ 0.179698   0.0667884    0.17532       0.0          0.0653774     0.092186   0.0844978    0.0654807      0.925        1.0                          2
   86 │ 0.182059   0.153505     0.159799      0.015896     0.101795      0.0859781  0.023422     0.0356596      0.925        1.0                          1
   87 │ 0.194712   0.179414     0.180475      0.0          0.0944471     0.0894326  0.0320457    0.0407622      0.925        0.96875                      0
   88 │ 0.168297   0.0498964    0.185335      0.00512242   0.0514941     0.126528   0.134614     0.0972553      0.925        1.0                          2
   89 │ 0.162649   0.0752275    0.183357      0.0213802    0.0481925     0.112201   0.12586      0.109174       0.925        1.0                          2
   90 │ 0.124251   0.185065     0.155004      0.109032     0.175723      0.181635   0.068203     0.0994771      0.925        0.96875                      0
   91 │ 0.132077   0.0148422    0.143972      0.0425869    0.0719696     0.190182   0.0930986    0.103649       0.925        0.96875                      0
   92 │ 0.165137   0.104456     0.0           0.140984     0.130905      0.11553    0.0977216    0.0522901      0.925        1.0                          1
   93 │ 0.144095   0.0354327    0.114022      0.0513094    0.127597      0.141226   0.137768     0.1594         0.925        1.0                          2
   94 │ 0.150318   0.154464     0.144452      0.0772167    0.126061      0.177424   0.078245     0.0731622      0.925        1.0                          1
   95 │ 0.0740474  0.00612429   0.00833481    0.176064     0.156694      0.186403   0.143016     0.0748387      0.925        1.0                          2
   96 │ 0.180268   0.0919458    0.151787      0.0151056    0.0861008     0.148359   0.115569     0.0718257      0.925        0.96875                      0
   97 │ 0.161474   0.119307     0.140868      0.0845994    0.131789      0.164197   0.183883     0.0803163      0.925        1.0                          2
   98 │ 0.133086   0.0522893    0.215465      0.180748     0.168869      0.161372   0.140368     0.0724046      0.925        1.0                          1
   99 │ 0.187097   0.0792597    0.160901      0.0          0.0623387     0.0895227  0.0798435    0.067099       0.925        1.0                          1
  100 │ 0.184695   0.166065     0.168659      0.00890751   0.0963771     0.0850755  0.036103     0.0504899      0.925        1.0                          2
  101 │ 0.173903   0.0631291    0.178071      0.0170375    0.0578091     0.116666   0.121758     0.109688       0.925        1.0                          1
  102 │ 0.168521   0.117593     0.0433725     0.0926697    0.158044      0.0604058  0.0735714    0.0532384      0.925        1.0                          2
  103 │ 0.046087   0.196121     0.0455801     0.00160654   0.0715953     0.134493   0.181372     0.113268       0.925        1.0                          2
  104 │ 0.138353   0.179764     0.15532       0.100596     0.16104       0.168282   0.0817466    0.113028       0.925        0.96875                      0
  105 │ 0.0        0.0744178    0.0850674     0.0409385    0.0773324     0.209791   0.116        0.0279734      0.925        0.96875                      0
  106 │ 0.195115   0.0119715    0.121214      0.0898351    0.135183      0.123944   0.179653     0.112838       0.925        1.0                          1
  107 │ 0.157255   0.0595471    0.0225423     0.072871     0.1751        0.166208   0.128644     0.0989764      0.925        1.0                          1
  108 │ 0.152137   0.0633716    0.0561258     0.0722077    0.165867      0.157766   0.125477     0.0721357      0.925        1.0                          1
  109 │ 0.15755    0.0594173    0.0805279     0.000505975  0.157533      0.159952   0.00265927   0.0341796      0.925        1.0                          2
  110 │ 0.0536828  0.119479     0.0640035     0.0750545    0.166376      0.182541   0.104905     0.13598        0.925        1.0                          2
  111 │ 0.12769    0.0282001    0.147246      0.0526225    0.0546398     0.180279   0.0910361    0.0943802      0.925        1.0                          1
  112 │ 0.152156   0.111746     0.00321785    0.123535     0.121457      0.116945   0.0810814    0.0397341      0.925        1.0                          1
  113 │ 0.182333   0.122338     0.123909      0.146437     0.0965279     0.187423   0.0794977    0.00690045     0.922917     1.0                          1
  114 │ 0.183335   0.125354     0.0449128     0.0897412    0.121659      0.186293   0.0852727    0.0883816      0.922917     0.96875                      0
  115 │ 0.125862   0.0342723    0.159353      0.034569     0.0675867     0.190604   0.0801386    0.0974218      0.922917     1.0                          1
  116 │ 0.114032   0.0379206    0.136023      0.0568697    0.0603128     0.182451   0.109844     0.0755928      0.922917     1.0                          1
  117 │ 0.124644   0.0318173    0.132023      0.0403885    0.0548901     0.175467   0.103693     0.0995549      0.922917     0.96875                      0
  118 │ 0.173577   0.113781     0.0520102     0.0825917    0.140052      0.183799   0.0972219    0.0726027      0.922917     1.0                          1
  119 │ 0.196244   0.128408     0.0512411     0.0722103    0.126273      0.193639   0.101092     0.0981013      0.922917     0.96875                      0
  120 │ 0.072376   0.0800576    0.177389      0.0219042    0.135904      0.0937362  0.0651089    0.0135959      0.922917     1.0                          2
  121 │ 0.0407582  0.035373     0.158774      0.0339756    0.13746       0.171937   0.0347692    0.0318387      0.922917     1.0                          1
  122 │ 0.156218   0.0389316    0.091267      0.0477627    0.129554      0.115484   0.138528     0.146279       0.922917     1.0                          1
  123 │ 0.148093   0.0752703    0.168539      0.00574384   0.171182      0.12065    0.0887596    0.0951549      0.922917     0.96875                      0
  124 │ 0.138494   0.0689698    0.18203       0.00902343   0.180913      0.123185   0.0799967    0.0968453      0.922917     1.0                          1
  125 │ 0.13168    0.095434     0.155528      0.0215967    0.180027      0.137292   0.090889     0.0726434      0.922917     1.0                          1
  126 │ 0.142886   0.117201     0.158542      0.013793     0.114713      0.154182   0.133901     0.0637556      0.922917     0.96875                      0
  127 │ 0.171976   0.119791     0.173679      0.0188512    0.102277      0.12438    0.117044     0.0845457      0.922917     0.96875                      0
  128 │ 0.0494865  0.0681123    0.0132797     0.0658889    0.207748      0.154393   0.167997     0.120375       0.922917     1.0                          1
  129 │ 0.177278   0.0712333    0.199198      0.00900646   0.185174      0.159009   0.183503     0.0578277      0.922917     0.96875                      0
  130 │ 0.192141   0.0384958    0.0316809     0.0323658    0.12125       0.071808   0.045272     0.0654938      0.922917     1.0                          2
  131 │ 0.16051    0.0331385    0.033273      0.0353332    0.124364      0.0717523  0.0475164    0.0303058      0.922917     1.0                          1
  132 │ 0.171841   0.12207      0.174589      0.112319     0.13351       0.17908    0.195423     0.0            0.922917     0.96875                      0
  133 │ 0.175675   0.142476     0.114123      0.0533896    0.139056      0.162175   0.172726     0.102528       0.922917     0.96875                      0
  134 │ 0.176571   0.13752      0.138876      0.0859701    0.118607      0.165921   0.182609     0.100755       0.922917     1.0                          1
  135 │ 0.166861   0.174942     0.159617      0.0298982    0.0787345     0.0777852  0.0068245    0.0368363      0.922917     1.0                          3
  136 │ 0.184757   0.050752     0.169122      0.0128883    0.0533928     0.122441   0.118007     0.0820897      0.922917     1.0                          1
  137 │ 0.208181   0.0320995    0.164564      0.0214638    0.0836569     0.119763   0.0949933    0.108111       0.922917     1.0                          2
  138 │ 0.0984964  0.0671142    0.173433      0.180904     0.147284      0.148332   0.126203     0.0336504      0.922917     1.0                          1
  139 │ 0.0971945  0.0291623    0.0345876     0.0642458    0.199351      0.188825   0.0495766    0.0930549      0.922917     1.0                          1
  140 │ 0.088689   0.049143     0.00731084    0.064477     0.175692      0.182078   0.0598441    0.0805136      0.922917     1.0                          1
  141 │ 0.0575739  0.20123      0.0685366     0.0241152    0.0705232     0.142379   0.162711     0.111856       0.922917     0.96875                      0
  142 │ 0.180357   0.113265     0.0           0.0563973    0.0673166     0.0676483  0.0753788    0.030785       0.922917     1.0                          1
  143 │ 0.176313   0.0700317    0.0751465     0.0252984    0.140387      0.158575   0.0304458    0.0410564      0.922917     1.0                          1
  144 │ 0.178882   0.0512811    0.0985596     0.0187716    0.153131      0.150035   0.00505181   0.0538258      0.922917     0.96875                      0
  145 │ 0.178017   0.0549182    0.107825      0.0119188    0.16594       0.149676   0.0290486    0.0337163      0.922917     0.96875                      0
  146 │ 0.178827   0.0507168    0.100352      0.0264622    0.167503      0.156602   0.0365051    0.0279115      0.922917     0.96875                      0
  147 │ 0.166364   0.0467105    0.0974074     0.0271869    0.161665      0.173298   0.0174162    0.0293447      0.922917     1.0                          2
  148 │ 0.138435   0.00615885   0.126391      0.0721373    0.153734      0.150081   0.0844562    0.075475       0.922917     1.0                          1
  149 │ 0.138042   0.0199883    0.105174      0.066265     0.152034      0.170564   0.100882     0.0685499      0.922917     0.96875                      0
  150 │ 0.149524   0.0          0.119428      0.0733107    0.161592      0.176121   0.0813534    0.0838275      0.922917     0.96875                      0
  151 │ 0.167799   0.0643414    0.0301593     0.0256522    0.132689      0.095393   0.0673801    0.0481212      0.922917     0.96875                      0
  152 │ 0.194388   0.0425552    0.144489      0.00453707   0.0834018     0.118011   0.117012     0.0983678      0.922917     0.96875                      0
  153 │ 0.203352   0.0451891    0.161637      0.0131715    0.0604133     0.134133   0.121125     0.0778511      0.922917     0.96875                      0
  154 │ 0.197132   0.027279     0.138531      0.00122679   0.0719461     0.130011   0.103408     0.097701       0.922917     0.96875                      0
  155 │ 0.196848   0.0319787    0.13959       0.0129735    0.0800002     0.141085   0.0976165    0.097004       0.922917     1.0                          2
  156 │ 0.219184   0.0222116    0.165439      0.0          0.085596      0.131888   0.111235     0.0989972      0.922917     1.0                          2
