Starting random search with 32 workers on 50000 parameter combinations...

=== Random Search Results ===
Total experiments: 50000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer     RemoveLayer  NewNeuron    RemoveNeuron  NewRule     RemoveRule   NewInput     RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64      Float64      Float64      Float64       Float64     Float64      Float64      Float64      Float64      Float64     UInt16
──────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  151 │ 0.172159     0.0416452    0.129882      0.0205385    0.107303    0.103052     0.120322     0.129152        0.88125      0.90625                      0
  152 │ 0.000156282  0.0249993    0.0013239     0.0288829    0.0623213   0.136996     0.190274     0.151988        0.88125      0.9375                       0
  153 │ 0.134986     0.0148032    0.102838      0.0235402    0.10632     0.190232     0.187621     0.0327314       0.88125      0.9375                       0
  154 │ 0.0202166    0.078974     0.0476851     0.0822161    0.153978    0.121823     0.14126      0.0464927       0.88125      0.96875                      0
  155 │ 0.181398     0.0504304    0.169204      0.087667     0.110144    0.108341     0.0721724    0.0481883       0.88125      0.96875                      0
  156 │ 0.0761964    0.0608765    0.100928      0.0318749    0.147771    0.188534     0.179741     0.136683        0.88125      0.96875                      0
  157 │ 0.0759248    0.11493      0.036653      0.0336715    0.151291    0.151949     0.136516     0.0997262       0.88125      0.96875                      0
  158 │ 0.109831     0.172731     0.060074      0.0118725    0.191198    0.0900883    0.130634     0.0339198       0.88125      0.90625                      0
  159 │ 0.107007     0.0972694    0.151664      0.140117     0.150568    0.146203     0.153559     0.168292        0.88125      0.9375                       0
  160 │ 0.0572167    0.154954     0.0618657     0.103345     0.141       0.0500376    0.123833     0.0829477       0.88125      0.96875                      0
  161 │ 0.0521997    0.172174     0.032618      0.0426489    0.090836    0.0661752    0.133479     0.0263208       0.88125      1.0                          1
  162 │ 0.176546     0.100293     0.173745      0.136563     0.197074    0.0733357    0.153704     0.176067        0.88125      0.9375                       0
  163 │ 0.0110015    0.135099     0.138717      0.0100691    0.0652163   0.120715     0.0419482    0.0447547       0.88125      1.0                          2
  164 │ 0.0144065    0.00520914   0.106315      0.0123271    0.0739185   0.0906474    0.0632086    0.0601679       0.88125      0.96875                      0
  165 │ 0.160708     0.0853558    0.185321      0.0675178    0.0659495   0.146912     0.191026     0.113291        0.88125      0.9375                       0
  166 │ 0.0519128    0.151732     0.109017      0.168767     0.172701    0.181475     0.163452     0.0376166       0.88125      0.9375                       0
  167 │ 0.1533       0.14053      0.166441      0.171238     0.105416    0.183236     0.185519     0.18186         0.88125      0.9375                       0
  168 │ 0.0366177    0.19428      0.192226      0.0530839    0.103454    0.130936     0.147115     0.0368394       0.88125      0.96875                      0
  169 │ 0.039616     0.137195     0.0293735     0.14309      0.114286    0.158205     0.171772     0.0209155       0.88125      0.90625                      0
  170 │ 0.0220748    0.0426354    0.138547      0.186141     0.168883    0.111176     0.196737     0.0599586       0.88125      0.9375                       0
  171 │ 0.0279274    0.017226     0.141449      0.0148304    0.123898    0.188252     0.0299218    0.0389143       0.88125      0.96875                      0
  172 │ 0.0490728    0.0263531    0.158561      0.0867257    0.155345    0.193429     0.0607243    0.0633421       0.88125      0.9375                       0
  173 │ 0.175945     0.0457922    0.0135165     0.0300566    0.111546    0.0851123    0.0558494    0.049515        0.88125      1.0                          1
  174 │ 0.064345     0.186406     0.044685      0.000120086  0.192416    0.123457     0.108619     0.05123         0.88125      0.9375                       0
  175 │ 0.0495281    0.0432239    0.042471      0.110245     0.175878    0.174607     0.199644     0.024845        0.88125      0.90625                      0
  176 │ 0.154919     0.122599     0.120612      0.0534521    0.146535    0.113767     0.128532     0.0501099       0.88125      0.9375                       0
  177 │ 0.0201919    0.126445     0.104333      0.0949123    0.144961    0.162426     0.0655398    0.0942378       0.88125      0.9375                       0
  178 │ 0.0063663    0.129325     0.142366      0.186393     0.0687263   0.108413     0.127767     0.108007        0.88125      0.96875                      0
  179 │ 0.1516       0.183034     0.105351      0.132729     0.191135    0.179358     0.131307     0.0830621       0.88125      0.90625                      0
  180 │ 0.0166017    0.063649     0.133831      0.0179143    0.19932     0.136183     0.174083     0.0364735       0.88125      0.96875                      0
